_id,RcnNormCR,RusStarCR,RkrStarCR,RcnStarCR,stage,valid,date,totalTime,studyTime,recogTime,genderTarget,gender,age,cnStarFamiliar,krStarFamiliar,usStarFamiliar,cnNormFamiliar,cnStarMeanRT,krStarMeanRT,cnNormMeanRT,usStarMeanRT,cnStarCorrectRate,krStarCorrectRate,cnNormCorrectRate,usStarCorrectRate,cnStarStdRT,krStarStdRT,cnNormStdRT,usStarStdRT,device-width,device-height,device-min
66471a954d2863addc319741,0.7917,0.8073,0.4687,0.4627,有效数据,有效数据,2024/5/17 16:51:31,703914,,103714,男,女,20,6,6,1,0,1232.3333,1028.125,876,1184.9583,0.6667,0.6667,0.7917,0.8333,552.3918,311.6597,240.0002,533.9943,390,844,390
66471b29b8016b7a1c4c3095,0.75,0.573,0.434,0.739,有效数据,有效数据,2024/5/17 16:53:59,470060,,99397,男,女,19,4,2,2,0,999.0833,1235.1667,821.6667,1085.625,0.875,0.5,0.75,0.625,207.0066,631.8898,706.6779,309.748,400,883,400
66471b5ab8016b7a1c4c3096,0.6667,0.5573,0.8333,0.296,有效数据,有效数据,2024/5/17 16:54:49,544625,85007,151076,女,男,20,6,0,1,0,1723.5,1723.75,1407.5833,1440,0.5,0.8333,0.6667,0.5833,1052.9506,817.7295,341.5178,331.7266,400,889,400
66471c42b8016b7a1c4c3097,0.625,0.1407,0.6667,0.1293,有效数据,有效数据,2024/5/17 16:58:41,426253,55184,86649,男,女,18,6,0,1,0,901.0833,868.375,906.625,934.2917,0.3333,0.6667,0.625,0.1667,230.1315,183.4483,221.6191,205.9959,400,889,400
66471e7384e984a79cb13bd0,0.7083,0.823,0.4687,0.6667,有效数据,有效数据,2024/5/17 17:08:02,553864,,114534,男,女,19,0,6,2,0,1153.2083,1393.2917,1028.1667,1197.5833,0.6667,0.6667,0.7083,0.875,211.2684,319.6503,260.8364,247.4951,390,844,390
66471ef084e984a79cb13bd1,0.6307,0.5313,0.651,0.5723,有效数据,有效数据,2024/5/17 17:10:06,559650,78338,135271,女,男,59,4,3,2,3,1289.5417,1226.9583,1776.4583,1343.3333,0.7083,0.75,0.6667,0.5833,398.0606,388.7406,1206.6745,371.1164,360,780,360
66471f6ae050c9234be7c075,0.7917,0.8543,0.7917,0.807,有效数据,有效数据,2024/5/17 17:12:08,520948,64852,106804,男,女,20,2,0,4,0,1103.75,1200.625,1049.0833,1096.7083,0.875,0.7917,0.7917,0.9583,343.9888,406.7285,329.8958,564.7953,390,844,390
66471fa3e050c9234be7c076,0.7917,0.844,0.5677,0.58,有效数据,有效数据,2024/5/17 17:13:05,476665,58570,99597,女,女,20,5,3,6,0,1108.0417,984.5,904.4583,1152.875,0.75,0.6667,0.7917,1,361.5607,653.0423,374.0722,565.8016,400,890,400
664722ac488cdde295b8a51e,0.75,0.75,0.2587,0.4737,有效数据,有效数据,2024/5/17 下午5:26:02,821769,105777,148954,男,女,20,2,1,0,0,1662.0417,1762.75,1407.5417,1374.0833,0.5417,0.2917,0.75,0.75,375.7481,1206.7704,795.1596,597.8889,360,800,360
6647231c172384df39556496,0.4583,0.5833,0.5417,0.466,有效数据,有效数据,2024/5/17 17:27:53,457900,66603,100606,男,女,19,1,0,0,0,1016.375,1024.5417,1076.6667,1074.3333,0.5,0.5417,0.4583,0.5833,253.4001,259.0827,233.8708,356.8881,361,802,361
